HelioClim-3 Database of Solar Irradiance v5 (derived from satellite data)
Provider;MINES ParisTech / Armines / Transvalor (France)
More information at;http://www.soda-is.com
Site latitude (positive means North);32.680
Site longitude (positive means East);-4.733
Elevation (m);1477
Take into account the shadows due to relief?;1 (yes, with horizon computed from SRTM)
Date beginning;2005-01-01
Date end;2005-12-31
Time reference (decimal hour);TU
Summarization (period of integration);Hour (h)
Date - Instant;The date or instant given for each value corresponds to the end of the summarization
Irradiance (W/m2);Irradiance averaged over the period (-999 if no data)
Lower bound (W/m2);Uncertainty in irradiance. Lower bound
Upper bound (W/m2);Uncertainty in irradiance. Upper bound. There is a 68% chance that the actual value is comprised between lower and upper bounds
Code;0: no data; 1: sun below horizon; 2: satellite assessment; 5: interpolation in time
Top of Atmosphere (W/m2);Irradiance averaged over the period at the top of the atmosphere (extraterrestrial)
Clear-Sky (W/m2);Typical irradiance averaged over the period if the sky were clear
Irradiation (Wh/m2);Irradiation over the period (-999 if no data)

Hourly mean irradiance and irradiation from HelioClim-3
Year;Month;Day;Time;Irradiance;Lower bound;Upper bound;Code;Top of Atmosphere;Clear-Sky;Irradiation;
2005;1;1;01.0000;0;0;0;1;0;0;0;
2005;1;1;02.0000;0;0;0;1;0;0;0;
2005;1;1;03.0000;0;0;0;1;0;0;0;
2005;1;1;04.0000;0;0;0;1;0;0;0;
2005;1;1;05.0000;0;0;0;1;0;0;0;
2005;1;1;06.0000;0;0;0;1;0;0;0;
2005;1;1;07.0000;0;0;0;1;0;0;0;
2005;1;1;08.0000;17;4;22;5;47;26;17;
2005;1;1;09.0000;160;86;180;2;283;201;160;
2005;1;1;10.0000;348;264;392;2;503;394;348;
2005;1;1;11.0000;508;450;574;2;669;544;508;
2005;1;1;12.0000;597;529;675;2;769;636;597;
2005;1;1;13.0000;621;559;676;2;797;660;621;
2005;1;1;14.0000;579;474;622;2;749;616;579;
2005;1;1;15.0000;475;389;510;2;631;507;475;
2005;1;1;16.0000;307;233;346;2;449;344;307;
2005;1;1;17.0000;110;59;123;2;217;145;110;
2005;1;1;18.0000;5;1;6;5;14;7;5;
2005;1;1;19.0000;0;0;0;1;0;0;0;
2005;1;1;20.0000;0;0;0;1;0;0;0;
2005;1;1;21.0000;0;0;0;1;0;0;0;
2005;1;1;22.0000;0;0;0;1;0;0;0;
2005;1;1;23.0000;0;0;0;1;0;0;0;
2005;1;1;24.0000;0;0;0;1;0;0;0;
2005;1;2;01.0000;0;0;0;1;0;0;0;
2005;1;2;02.0000;0;0;0;1;0;0;0;
2005;1;2;03.0000;0;0;0;1;0;0;0;
2005;1;2;04.0000;0;0;0;1;0;0;0;
2005;1;2;05.0000;0;0;0;1;0;0;0;
2005;1;2;06.0000;0;0;0;1;0;0;0;
2005;1;2;07.0000;0;0;0;1;0;0;0;
2005;1;2;08.0000;16;4;21;5;45;24;16;
2005;1;2;09.0000;156;84;175;2;281;196;156;
2005;1;2;10.0000;342;260;386;2;502;389;342;
2005;1;2;11.0000;502;445;568;2;669;540;502;
2005;1;2;12.0000;593;525;670;2;770;632;593;
2005;1;2;13.0000;618;557;673;2;799;658;618;
2005;1;2;14.0000;578;473;620;2;753;615;578;
2005;1;2;15.0000;475;389;510;2;635;507;475;
2005;1;2;16.0000;308;234;347;2;455;344;308;
2005;1;2;17.0000;112;60;126;2;223;147;112;
2005;1;2;18.0000;5;1;7;5;16;8;5;
2005;1;2;19.0000;0;0;0;1;0;0;0;
2005;1;2;20.0000;0;0;0;1;0;0;0;
2005;1;2;21.0000;0;0;0;1;0;0;0;
2005;1;2;22.0000;0;0;0;1;0;0;0;
2005;1;2;23.0000;0;0;0;1;0;0;0;
2005;1;2;24.0000;0;0;0;1;0;0;0;
2005;1;3;01.0000;0;0;0;1;0;0;0;
2005;1;3;02.0000;0;0;0;1;0;0;0;
2005;1;3;03.0000;0;0;0;1;0;0;0;
2005;1;3;04.0000;0;0;0;1;0;0;0;
2005;1;3;05.0000;0;0;0;1;0;0;0;
2005;1;3;06.0000;0;0;0;1;0;0;0;
2005;1;3;07.0000;0;0;0;1;0;0;0;
2005;1;3;08.0000;16;4;20;5;46;24;16;
2005;1;3;09.0000;153;83;172;2;282;192;153;
2005;1;3;10.0000;341;260;385;2;504;385;341;
2005;1;3;11.0000;500;443;565;2;671;536;500;
2005;1;3;12.0000;589;521;665;2;772;628;589;
2005;1;3;13.0000;614;553;668;2;800;653;614;
2005;1;3;14.0000;573;507;647;2;755;611;573;
2005;1;3;15.0000;471;385;505;2;637;503;471;
2005;1;3;16.0000;304;231;343;2;456;341;304;
2005;1;3;17.0000;109;47;124;2;224;145;109;
2005;1;3;18.0000;5;1;7;5;17;8;5;
2005;1;3;19.0000;0;0;0;1;0;0;0;
2005;1;3;20.0000;0;0;0;1;0;0;0;
2005;1;3;21.0000;0;0;0;1;0;0;0;
2005;1;3;22.0000;0;0;0;1;0;0;0;
2005;1;3;23.0000;0;0;0;1;0;0;0;
2005;1;3;24.0000;0;0;0;1;0;0;0;
2005;1;4;01.0000;0;0;0;1;0;0;0;
2005;1;4;02.0000;0;0;0;1;0;0;0;
2005;1;4;03.0000;0;0;0;1;0;0;0;
2005;1;4;04.0000;0;0;0;1;0;0;0;
2005;1;4;05.0000;0;0;0;1;0;0;0;
2005;1;4;06.0000;0;0;0;1;0;0;0;
2005;1;4;07.0000;0;0;0;1;0;0;0;
2005;1;4;08.0000;15;4;20;5;44;23;15;
2005;1;4;09.0000;152;82;172;2;280;189;152;
2005;1;4;10.0000;339;258;382;2;502;380;339;
2005;1;4;11.0000;494;438;559;2;670;530;494;
2005;1;4;12.0000;585;518;661;2;773;623;585;
2005;1;4;13.0000;612;551;666;2;803;650;612;
2005;1;4;14.0000;571;506;645;2;758;608;571;
2005;1;4;15.0000;470;385;505;2;642;503;470;
2005;1;4;16.0000;309;235;348;2;462;343;309;
2005;1;4;17.0000;113;48;129;2;230;148;113;
2005;1;4;18.0000;6;2;8;5;19;9;6;
2005;1;4;19.0000;0;0;0;1;0;0;0;
2005;1;4;20.0000;0;0;0;1;0;0;0;
2005;1;4;21.0000;0;0;0;1;0;0;0;
2005;1;4;22.0000;0;0;0;1;0;0;0;
2005;1;4;23.0000;0;0;0;1;0;0;0;
2005;1;4;24.0000;0;0;0;1;0;0;0;
2005;1;5;01.0000;0;0;0;1;0;0;0;
2005;1;5;02.0000;0;0;0;1;0;0;0;
2005;1;5;03.0000;0;0;0;1;0;0;0;
2005;1;5;04.0000;0;0;0;1;0;0;0;
2005;1;5;05.0000;0;0;0;1;0;0;0;
2005;1;5;06.0000;0;0;0;1;0;0;0;
2005;1;5;07.0000;0;0;0;1;0;0;0;
2005;1;5;08.0000;15;4;19;5;45;23;15;
2005;1;5;09.0000;148;80;167;2;282;189;148;
2005;1;5;10.0000;340;259;383;2;504;383;340;
2005;1;5;11.0000;499;442;564;2;672;535;499;
2005;1;5;12.0000;590;522;667;2;775;629;590;
2005;1;5;13.0000;617;556;671;2;805;657;617;
2005;1;5;14.0000;577;511;652;2;760;616;577;
2005;1;5;15.0000;476;390;511;2;644;510;476;
2005;1;5;16.0000;312;237;352;2;464;348;312;
2005;1;5;17.0000;115;49;130;2;232;151;115;
2005;1;5;18.0000;6;2;8;5;19;9;6;
2005;1;5;19.0000;0;0;0;1;0;0;0;
2005;1;5;20.0000;0;0;0;1;0;0;0;
2005;1;5;21.0000;0;0;0;1;0;0;0;
2005;1;5;22.0000;0;0;0;1;0;0;0;
2005;1;5;23.0000;0;0;0;1;0;0;0;
2005;1;5;24.0000;0;0;0;1;0;0;0;
2005;1;6;01.0000;0;0;0;1;0;0;0;
2005;1;6;02.0000;0;0;0;1;0;0;0;
2005;1;6;03.0000;0;0;0;1;0;0;0;
2005;1;6;04.0000;0;0;0;1;0;0;0;
2005;1;6;05.0000;0;0;0;1;0;0;0;
2005;1;6;06.0000;0;0;0;1;0;0;0;
2005;1;6;07.0000;0;0;0;1;0;0;0;
2005;1;6;08.0000;16;4;21;5;44;26;16;
2005;1;6;09.0000;164;89;185;2;279;208;164;
2005;1;6;10.0000;366;342;366;2;503;411;366;
2005;1;6;11.0000;530;469;599;2;672;569;530;
